,good_id,shop_id,onhand_qnt
123,360,19765,15.0
124,360,20271,14.0
125,360,24799,13.0
126,360,27514,24.0
127,360,34763,1.0
128,360,46492,8.0
129,360,47082,5.0
130,360,67089,5.0
131,364,83733,95.0
132,371,10171,5.25
133,374,23414,77.0
134,374,29651,3.5
135,374,36083,40.0
136,374,67089,1.0
137,376,11013,35.0
138,376,98539,11.0
139,380,24799,15.0
140,380,38006,8.0
141,381,74399,2.0
142,382,83733,944.0
143,392,7686,1.0
144,402,38212,25.5
145,413,7686,1.0
146,414,10171,3.0
147,414,38006,4.0
148,417,38212,1.5
149,422,11013,2.0
150,422,18349,5.0
151,422,24345,1.0
152,495,19765,5.0
153,498,7686,1.0
154,503,19765,4.0
155,504,19765,1.0
156,513,47082,1.0
157,546,85973,2.0
158,564,10171,2.25
159,565,26477,69.0
160,577,7686,1.0
161,581,23293,46.0
162,581,26477,16.0
163,593,23824,11.0
164,595,34763,1.0
165,597,56377,4.0
166,612,7686,2.0
167,613,56377,17.0
168,615,7686,5.0
169,688,83858,19.0
170,746,7686,1.0
171,746,19765,1.0
172,746,56377,1.0
173,750,7686,1.0
174,764,23414,50.0
175,768,34763,502.0
176,769,15174,32.0
177,772,23824,12.0
178,772,24345,14.0
179,772,27514,92.0
180,777,20271,5.0
181,777,23824,2.0
182,777,27514,1.0
183,777,34763,1.0
184,777,46492,8.0
185,777,47082,4.0
186,778,23293,6.0
187,780,38212,0.262
188,781,7686,1.0
189,781,26477,8.0
190,790,15174,4.066
191,790,29651,12.0
192,790,43904,0.045
193,790,108664,1.671
194,823,7686,1.0
195,861,38212,8.0
196,893,19765,1.0
197,918,19765,14.0
198,920,23293,24.0
199,920,26477,12.0
200,920,36083,4.0
201,938,19765,16.0
202,938,20271,18.0
203,938,24799,12.0
204,938,27514,20.0
205,938,34763,1.0
206,938,38006,9.0
207,938,46492,3.0
208,938,47082,3.0
209,938,56377,20.0
210,942,11013,6.0
211,942,15174,1.0
212,953,11013,4.0
213,957,20271,5.0
214,957,23824,6.0
215,957,38006,1.0
216,957,46492,2.0
217,957,47082,3.0
218,957,67089,6.0
219,968,19765,6.0
220,968,24799,23.0
221,968,27514,19.0
222,968,34763,3.0
223,968,38006,11.0
224,968,46492,9.0
225,975,23824,1.0
226,975,67089,1.0
227,977,7686,2.0
228,1040,34763,14.0
229,1067,15174,36.0
230,1076,11013,2.0
231,1076,20271,5.0
232,1076,24799,5.0
233,1076,27514,18.0
234,1134,83858,1.0
235,1146,67089,2.0
236,1159,15174,1.0
237,1246,27514,1.0
238,1256,7686,4.0
239,1383,7686,2.0
240,1383,10171,693.0
241,1395,7686,1.0
242,1395,18349,3.0
243,1395,26477,3.0
244,1450,7686,1.0
245,1516,15174,1.0
246,1516,85973,1.0
247,1564,23293,12.0
248,1571,23293,2.0
249,1575,7686,11.0
250,1575,11013,2.0
251,1575,20271,6.0
252,1575,27514,33.0
253,1575,34763,2.0
254,1575,47082,1.0
255,1582,108664,10.14
256,1609,7686,1.0
257,1628,11013,1.0
258,1628,20271,3.0
259,1628,27514,2.0
260,1649,23293,5.0
261,1649,23824,3.0
262,1649,24345,1.0
263,1649,27514,9.0
264,1654,34763,9.0
265,1654,47082,4.0
266,1655,23824,11.0
267,1655,24799,23.0
268,1655,27514,19.0
269,1655,38006,9.0
270,1655,47082,2.0
271,1658,23824,5.0
272,1658,27514,40.0
273,1658,47082,2.0
274,1659,19765,3.0
275,1659,23824,5.0
276,1659,24799,22.0
277,1659,27514,105.0
278,1659,34763,17.0
279,1659,36083,6.0
280,1659,38006,3.0
281,1659,46492,27.0
282,1659,47082,13.0
283,1659,56377,21.0
284,1660,23824,3.0
285,1660,24799,21.0
286,1660,27514,18.0
287,1660,46492,5.0
288,1661,24799,6.0
289,1661,26477,9.0
290,1673,7686,8.0
291,1673,23824,6.0
292,1674,7686,1.0
293,1706,23293,54.0
294,1706,26477,12.0
295,1710,27514,4.0
296,1710,67089,20.0
297,1731,38006,6.0
298,1733,20271,1.0
299,1733,24799,12.0
300,1733,27514,14.0
301,1733,34763,1.0
302,1733,46492,5.0
303,1733,47082,3.0
304,1733,67089,2.0
305,1734,20271,9.0
306,1734,27514,6.0
307,1734,46492,11.0
308,1734,47082,12.0
309,1734,67089,1.0
310,1735,46492,29.0
311,1737,20271,36.0
312,1737,24799,15.0
313,1738,67089,2.0
314,1743,10171,5.5
315,1802,12105,999992.0
316,1805,47082,1.0
317,1808,43904,3.0
318,1808,61188,1000.0
319,1816,7686,4.0
320,1836,23293,27.0
321,1836,26477,28.0
322,1850,7686,1.0
323,1850,19765,1.0
324,1858,15174,1135.0
325,1858,31565,181.0
326,1858,38212,530.0
327,1858,60439,23.0
328,1858,87474,843.0
329,1866,31565,2.0
330,1876,23293,62.0
331,1876,26477,14.0
332,1927,7686,1.0
333,1943,24799,6.0
334,1959,10171,0.3
335,1964,20271,5.0
336,1970,7686,2.0
337,1991,7686,4.0
338,2007,23824,9.0
339,2008,23824,1.0
340,2010,23824,1.0
341,2010,27514,64.0
342,2012,23824,12.0
343,2012,34763,7.0
344,2013,23824,4.0
345,2015,23824,14.0
346,2015,26477,15.0
347,2015,27514,9.0
348,2015,34763,6.0
349,2017,23824,3.0
350,2018,34763,2.0
351,2019,19765,2.0
352,2019,23824,2.0
353,2019,24799,13.0
354,2019,27514,21.0
355,2019,34763,3.0
356,2019,38006,6.0
357,2019,46492,2.0
358,2019,47082,5.0
359,2020,23824,3.0
360,2020,34763,14.0
361,2021,19765,5.0
362,2021,23824,4.0
363,2021,24799,11.0
364,2021,27514,11.0
365,2021,34763,8.0
366,2021,38006,9.0
367,2021,46492,20.0
368,2022,23824,9.0
369,2022,34763,18.0
370,2023,23824,12.0
371,2023,24799,2.0
372,2023,27514,19.0
373,2023,34763,8.0
374,2023,47082,3.0
375,2025,19765,2.0
376,2025,23824,3.0
377,2025,34763,1.0
378,2026,27514,3.0
379,2031,7686,1.0
380,2038,11013,3.0
381,2065,20271,11.0
382,2076,85973,17.0
383,2107,7686,1.0
384,2112,38006,7.0
385,2135,23293,20.0
386,2135,26477,5.0
387,2135,34763,8.0
388,2137,23293,11.0
389,2142,11013,1.0
390,2142,20271,6.0
391,2142,34763,1.0
392,2142,38006,6.0
393,2142,67089,2.0
394,2143,24799,6.0
395,2144,34763,3.0
396,2144,38006,2.0
397,2144,46492,3.0
398,2145,11013,1.0
399,2145,27514,6.0
400,2145,34763,1.0
401,2145,67089,1.0
402,2146,11013,3.0
403,2146,24799,5.0
404,2146,34763,12.0
405,2146,38006,14.0
406,2146,46492,4.0
407,2155,7686,1.0
408,2160,26477,13.0
409,2162,23293,20.0
410,2167,26477,11.0
411,2168,26477,9.0
412,2185,19917,12.21
413,2230,10171,2.85
414,2257,15174,1.0
415,2273,7686,4.0
416,2273,23293,10.0
417,2273,38006,7.0
418,2273,83858,12.0
419,2274,23293,9.0
420,2274,38006,9.0
421,2274,83858,1.0
422,2315,23824,10.0
423,2457,15174,2.0
424,2457,23293,13.0
425,2582,7686,2.0
426,2592,7686,1.0
427,2606,7686,6.0
428,2611,7686,1.0
429,2611,11013,3.0
430,2611,27514,6.0
431,2611,47082,2.0
432,2616,23293,60.0
433,2618,31565,6.0
434,2619,7686,2.0
435,2619,15174,2.0
436,2619,18349,2.0
437,2619,20271,14.0
438,2619,23293,21.0
439,2619,23824,2.0
440,2619,26477,9.0
441,2619,31565,10.0
442,2619,47082,3.0
443,2619,74399,1.0
444,2620,23293,26.0
445,2621,18349,8.0
446,2621,20271,14.0
447,2621,23824,1.0
448,2621,26477,18.0
449,2621,27514,42.0
450,2621,47082,10.0
451,2621,56377,7.0
452,2621,74399,4.0
453,2622,23293,30.0
454,2623,7686,5.0
455,2625,23293,60.0
456,2625,26477,3.0
457,2625,74399,5.0
458,2626,47082,5.0
459,2750,7686,3.0
460,2751,7686,1.0
461,2785,19917,8.0
462,2785,34141,53.0
463,2890,38006,8.0
464,2891,38006,9.0
465,2928,7686,1.0
466,2962,7686,1.0
467,2984,11013,30.0
468,2984,15174,3.0
469,2987,56377,81.0
470,2994,15174,1636.0
471,3017,11013,2.0
472,3017,24799,3.0
473,3017,27514,14.0
474,3017,56377,15.0
475,3018,7686,1.0
476,3018,23293,42.0
477,3018,26477,7.0
478,3020,7686,2.0
479,3021,23293,40.0
480,3021,26477,5.0
481,3022,23293,47.0
482,3022,26477,16.0
483,3144,18349,11.0
484,3144,23293,10.0
485,3144,23824,9.0
486,3144,26477,10.0
487,3144,36083,3.0
488,3156,34763,3.0
489,3159,15174,35.0
490,3191,23293,6.0
491,3191,34763,1.0
492,3324,34763,1.0
493,3391,15174,1.0
494,3393,11013,1.0
495,3393,15174,184.0
496,3395,15174,2.0
497,3396,11013,1.0
498,3397,15174,3.0
499,3401,15174,7.0
500,3405,15174,8.0
501,3450,15174,1.0
502,3487,15174,5.0
503,3502,48383,9.0
504,3536,31565,2.0
505,3670,15174,9.0
506,3676,15174,3.0
507,3680,47082,12.0
508,3680,67089,1.0
509,3690,25347,1.312
510,3694,11013,1.0
511,3702,108664,875.0
512,3712,108664,4.186
513,3721,19917,409.0
514,3721,34141,688.0
515,3721,56377,13.0
516,3799,7686,3.0
517,3886,23414,1.082
518,3941,24799,6.0
519,3950,19917,52.0
520,3954,10171,0.15
521,4093,11013,1.0
522,4093,15174,3.0
523,4094,11013,6.0
524,4094,15174,1.0
525,4111,23293,24.0
526,4117,23293,54.0
527,4149,10171,3.0
528,4154,11013,5.0
529,4163,98539,10.0
530,4204,41970,0.606
531,4217,11013,1.0
532,4217,18349,11.0
533,4217,23293,20.0
534,4217,23824,3.0
535,4217,36083,1.0
536,4217,74399,9.0
537,4218,23293,24.0
538,4218,26477,6.0
539,4219,7686,4.0
540,4219,23293,6.0
541,4219,23824,9.0
542,4220,23293,10.0
543,4241,11013,2.0
544,4442,38006,16.0
545,4452,7686,1.0
546,4457,20271,11.0
547,4457,46492,3.0
548,4458,46492,1.0
549,4458,67089,1.0
550,4459,11013,3.0
551,4459,20271,7.0
552,4459,23824,6.0
553,4459,34763,3.0
554,4459,46492,3.0
555,4460,46492,13.0
556,4461,19765,1.0
557,4461,67089,2.0
558,4466,27514,1.0
559,4505,7686,1.0
560,4505,18349,6.0
561,4534,34141,62.0
562,4551,11013,2.0
563,4551,15174,1.0
564,4593,19917,0.835
565,4593,34141,8.0
566,4822,15174,0.381
567,4822,38212,1.668
568,4884,15174,1.0
569,4924,41970,0.653
570,5015,38006,8.0
571,5016,20271,11.0
572,5131,24799,1.0
573,5299,15174,1.0
574,5320,15174,1.0
575,5454,11013,12.0
576,5454,61188,981.0
577,5471,15174,1.0
578,5471,19917,2.0
579,5520,15174,1.0
580,5633,23293,94.0
581,5656,7686,6.0
582,5656,23293,12.0
583,5656,23824,3.0
584,5691,7686,3.0
585,5735,26477,7.0
586,5742,23293,29.0
587,5742,26477,10.0
588,5743,23293,6.0
589,5743,67089,6.0
590,5743,74399,12.0
591,5745,27514,17.0
592,5750,11013,2.0
593,5750,24799,24.0
594,5837,23293,32.0
595,5837,38006,1.0
596,5930,56377,3.0
597,6062,19765,9.0
598,6091,7686,1.0
599,6180,23293,10.0
600,6227,36083,18.0
601,6250,36083,1.0
602,6250,38006,8.0
603,6250,83858,1.0
604,6411,15174,65.0
605,6411,83733,58.0
606,6478,24345,5.0
607,6478,27514,5.0
608,6478,47082,2.0
609,6480,19765,1.0
610,6655,7686,1.0
611,6689,17846,9077.0
612,6689,61188,684.0
613,6700,19765,2.0
614,6700,46492,3.0
615,6720,44447,2.0
616,6721,43904,4.0
617,6734,46492,1.0
618,6734,67089,3.0
619,6735,11013,1.0
620,6736,47082,3.0
621,6828,15174,373.0
622,6859,7686,2.0
623,6926,56377,1.0
624,7020,7686,28.0
625,7020,19765,63.0
626,7144,24345,6.0
627,7344,23293,23.0
628,7619,34141,43.0
629,7790,31565,1.0
630,7805,15174,32.188
631,7805,19917,41.532
632,7810,24799,11.0
633,7824,34763,13.0
634,7847,24799,4.0
635,7851,34763,3.0
636,7872,15174,13.0
637,7876,11013,2.0
638,7876,15174,5.0
639,7882,7686,2.0
640,7882,19765,19.0
641,7893,19917,0.511
642,7897,11013,1.0
643,7904,11013,1.0
644,7918,15174,8.0
645,7925,24799,2.0
646,7932,11013,1.0
647,7935,56377,1.0
648,7936,11013,11.0
649,7936,15174,9.0
650,7940,31565,47.0
651,7950,19765,8.0
652,7950,56377,9.0
653,7952,19765,1.0
654,7955,26719,10.0
655,7960,41970,5.0
656,7990,11013,2.0
657,7990,19917,4.0
658,7998,11013,2.0
659,7998,15174,7.0
660,7998,34763,2.0
661,8013,24799,3.0
662,8023,24799,23.0
663,8025,31565,1.0
664,8044,15174,2.0
665,8347,34763,1.0
666,8360,19917,1.0
667,8363,24799,9.0
668,8375,15174,1.0
669,8421,15174,5.0
670,8421,34141,41.0
671,8435,12105,999999.0
672,8475,15174,11.0
673,8484,19765,9.0
674,8494,24799,171.0
675,8500,24799,9.0
676,8502,31565,2.0
677,8534,108664,1.0
678,8535,23293,6.0
679,8536,11013,1.0
680,8536,23824,8.0
681,8557,15174,3.0
682,8558,15174,9.0
683,8559,15174,6.0
684,8563,19917,1.0
685,8571,11013,3.0
686,8638,15174,4.0
687,8643,38212,8.0
688,8688,31565,214.0
689,8688,44447,45.0
690,8712,7686,8.0
691,8712,18349,2.0
692,8713,24799,3.0
693,8713,26477,5.0
694,8713,31565,1.0
695,8713,74399,8.0
696,8730,15174,22.0
697,8748,47082,5.0
698,8750,7686,5.0
699,8765,19917,2.0
700,8780,15174,19.0
701,8784,19917,1.0
702,8793,15174,1.0
703,8808,15174,3.0
704,8891,23293,8.0
705,8891,26477,1.0
706,9247,15174,1.0
707,9263,19917,1.0
708,9267,11013,3.0
709,9276,15174,6.0
710,9276,24799,8.0
711,9276,26719,1.0
712,9276,31565,4.0
713,9276,34763,7.0
714,9276,85973,19.0
715,9304,23293,20.0
716,9304,36083,19.0
717,9357,11013,2.0
718,9359,11013,2.0
719,9361,15174,12.0
720,9391,15174,19.0
721,9477,23293,18.0
722,9491,19917,1.0
723,9522,11013,3.0
724,9530,11013,3.0
725,9530,15174,2.0
726,9537,23824,6.0
727,9566,23293,90.0
728,9567,23293,90.0
729,9568,23293,74.0
730,9569,23293,75.0
731,9569,34763,3.0
732,9570,23293,70.0
733,9571,23293,148.0
734,9575,15174,4.0
735,9587,24799,50.0
736,9616,19917,87.0
737,9656,26477,3.0
738,9656,46492,4.0
739,9657,18349,1.0
740,9657,23824,12.0
741,9657,47082,5.0
742,9660,7686,1.0
743,9660,11013,1.0
744,9660,27514,6.0
745,9666,24799,32.0
746,9666,26719,1.0
747,9669,15174,1.0
748,9671,15174,11.0
749,9672,34141,32.0
750,9672,61188,836.0
751,9685,15174,2.0
752,9774,7686,1.0
753,9806,11013,1.0
754,9812,24799,7.0
755,9851,15174,1.0
756,9891,7686,1.0
757,9971,56377,1.0
758,10034,11013,2.0
759,10049,11013,1.0
760,10142,31565,1.0
761,10278,15174,1.0
762,10280,15174,1.0
763,10299,19765,1.0
764,10332,19917,2.018
765,10335,15174,17.0
766,10355,15174,6.0
767,10355,34763,3.0
768,10362,11013,1.0
769,10362,15174,2.0
770,10371,7686,4.0
771,10384,31565,0.695
772,10395,19917,9.0
773,10399,11013,2.0
774,10443,56377,2.0
775,10468,15174,1.0
776,10498,11013,4.0
777,10571,31565,1.0
778,10580,7686,2.0
779,10735,19917,8.0
780,10755,19917,7.0
781,10776,24799,5.0
782,10823,15174,13.0
783,10823,24799,19.0
784,11056,15174,5.0
785,11166,15174,0.475
786,11179,19917,1.0
787,11179,31565,3.0
788,11181,31565,1.0
789,11187,31565,0.16
790,11220,56377,10.0
791,11233,18349,1.0
792,11234,38006,16.0
793,11332,15174,10.0
794,11369,56377,6.0
795,11388,11013,3.0
796,11516,24799,1.0
797,11583,19917,1.499
798,11682,38006,1.0
799,11694,23293,40.0
800,11919,15174,11.0
801,11931,23293,81.0
802,11931,26477,14.0
803,11932,18349,7.0
804,11932,23293,3.0
805,11955,41970,1.227
806,11957,44447,0.809
807,11960,29651,558.0
808,12125,56377,4.0
809,12142,11013,1.0
810,12146,11013,4.0
811,12164,15174,4.0
812,12169,31565,2.0
813,12171,34763,8.0
814,12186,83733,2.0
815,12203,20271,14.0
816,12203,27514,10.0
817,12219,11013,1.0
818,12219,41970,2.0
819,12245,34763,2.0
820,12272,15174,12.0
821,12275,31565,29.0
822,12275,34763,242.0
823,12275,44447,79.0
824,12311,19917,1.098
825,12325,15174,6.0
826,12351,15174,22.0
827,12440,15174,59.0
828,12525,15174,1.0
829,12525,24799,9.0
830,12526,24799,6.0
831,12529,11013,1.0
832,12533,15174,8.0
833,12563,47082,5.0
834,12582,15174,2.0
835,12594,85973,22.0
836,12606,15174,2.0
837,12620,15174,1.0
838,12640,15174,2.0
839,12643,11013,2.0
840,12643,15174,1.0
841,12703,11013,4.0
842,12722,11013,8.0
843,12728,11013,17.0
844,12728,15174,26.0
845,12730,34763,4.0
846,12773,38212,1.0
847,12836,11013,3.0
848,12837,11013,2.0
849,12886,26719,15.0
850,12931,15174,25.0
851,12932,7686,1.0
852,12932,27514,4.0
853,13035,108664,6.0
854,13050,11013,1.0
855,13050,19917,1.0
856,13051,11013,1.0
857,13052,11013,2.0
858,13052,15174,2.0
859,13053,15174,2.0
860,13063,11013,1.0
861,13141,15174,4.0
862,13164,15174,8.0
863,13194,10171,0.5
864,13232,15174,59.0
865,13248,7686,1.0
866,13248,11013,5.0
867,13275,56377,9.0
868,13326,7686,1.0
869,13397,15174,68.0
870,13439,11013,28.0
871,13452,15174,2.0
872,13472,11013,2.0
873,13472,15174,1.0
874,13493,108664,4.942
875,13534,11013,1.0
876,13535,11013,27.0
877,13543,11013,1.0
878,13631,31565,4.0
879,13664,15174,4.0
880,13685,7686,1.0
881,13726,15174,10.0
882,13730,15174,6.0
883,13732,31565,4.0
884,13938,27514,20.0
885,13947,47082,6.0
886,13949,20271,5.0
887,13950,27514,15.0
888,13951,46492,1.0
889,13958,85973,2.0
890,13975,15174,98.0
891,14136,11013,16.0
892,14245,19765,1.0
893,14314,20271,4.0
894,14314,23824,9.0
895,14314,27514,6.0
896,14314,34763,1.0
897,14314,67089,1.0
898,14427,15174,1.0
899,14503,15174,6.0
900,14523,15174,5.0
901,14525,15174,1.0
902,14551,15174,0.0
903,14653,31565,2.0
904,14661,15174,3.0
905,14662,15174,29.0
906,14663,56377,10.0
907,14669,19917,1.0
908,14671,7686,1.0
909,14704,34763,1.0
910,14713,34763,1.0
911,14719,24799,14.0
912,14752,11013,3.0
913,14831,15174,2.0
914,14831,56377,1.0
915,14842,11013,1.0
916,14846,15174,5.0
917,14847,15174,1.0
918,14848,11013,5.0
919,14891,15174,3.0
920,14958,38006,23.0
921,14968,44447,8.0
922,14969,44447,10.0
923,14969,108664,16.0
924,14970,44447,8.0
925,14971,38212,1.0
926,14971,44447,11.0
927,14971,108664,20.0
928,14972,44447,11.0
929,14972,108664,13.0
930,14973,44447,19.0
931,14980,15174,230.0
932,15019,11013,1.0
933,15019,15174,11.0
934,15084,11013,5.0
935,15100,15174,9.0
936,15100,19917,7.0
937,15134,26719,8.0
938,15135,56377,2.0
939,15175,26477,5.0
940,15175,36083,18.0
941,15179,18349,2.0
942,15179,31565,1.0
943,15179,47082,8.0
944,15179,74399,2.0
945,15180,7686,13.0
946,15194,18349,5.0
947,15281,19765,1.0
948,15303,15174,20.0
949,15305,11013,3.0
950,15373,11013,2.0
951,15375,11013,37.0
952,15388,47082,10.0
953,15449,36083,16.0
954,15482,15174,6.0
955,15486,11013,2.0
956,15486,15174,4.0
957,15490,11013,9.0
958,15516,23414,18.0
959,15516,29651,1.0
960,15549,15174,20.0
961,15551,15174,1.0
962,15861,38212,0.892
963,15999,25347,122.0
964,16295,23293,26.0
965,16391,15174,4.0
966,16490,11013,2.0
967,16523,15174,3.0
968,16649,31565,6.0
969,16671,15174,6.0
970,16708,23414,0.467
971,16721,11013,2.0
972,16738,31565,6.0
973,16745,34763,20.0
974,16787,15174,14.0
975,16788,19917,1.0
976,16922,15174,1.0
977,16930,19917,1.887
978,17013,48383,1.0
979,17059,15174,10.0
980,17076,85973,13.0
981,17103,11013,2.0
982,17116,15174,4.0
983,17127,34763,4.0
984,17134,15174,10.0
985,17173,7686,1.0
986,17180,20271,20.0
987,17180,34763,3.0
988,17180,46492,8.0
989,17321,46492,4.0
990,17322,20271,7.0
991,17322,23824,5.0
992,17324,38006,2.0
993,17324,46492,3.0
994,17324,67089,1.0
995,17328,17846,9464.0
996,17328,61188,658.0
997,17330,17846,9949.0
998,17330,61188,923.0
999,17331,38006,1.0
1000,17332,38006,2.0
1001,17333,26477,3.0
1002,17333,38006,3.0
1003,17333,83858,8.0
1004,17334,20271,2.0
1005,17334,38006,7.0
1006,17334,74399,5.0
1007,17335,38006,4.0
1008,17338,38006,11.0
1009,17339,23824,1.0
1010,17339,31565,1.0
1011,17359,11013,14.0
1012,17442,26477,4.0
1013,17446,34763,1.0
1014,17479,15174,14.0
1015,17672,23824,8.0
1016,17678,31565,3.0
1017,17678,38212,18.0
1018,17678,85973,88.0
1019,17685,56377,2.0
1020,17834,29651,73.0
1021,17834,31565,1.0
1022,17834,34763,113.0
1023,17834,43904,382.0
1024,17834,44447,93.0
1025,17834,85973,1002.0
1026,18013,60439,6.642
1027,18013,87474,5.794
1028,18013,103636,1.2
1029,18064,11013,1.0
1030,18121,56377,4.0
1031,18130,15174,4.615
1032,18140,15174,2.0
1033,18304,15174,24.0
1034,18375,11013,1.0
1035,18375,23824,1.0
1036,18378,34763,49.0
1037,18385,11013,4.0
1038,18385,15174,59.0
1039,18448,15174,3.0
1040,18450,15174,21.0
1041,18470,38006,5.0
1042,18490,15174,3.0
1043,18601,11013,1.0
1044,18752,19917,9.0
1045,18824,34763,1.0
1046,18825,15174,49.0
1047,18829,11013,2.0
1048,18905,20271,51.0
1049,18905,47082,40.0
1050,18908,7686,1.0
1051,18920,34763,6.0
1052,18935,34763,4.0
1053,19087,17846,20.0
1054,19114,24799,1.0
1055,19114,38006,9.0
1056,19114,67089,2.0
1057,19133,31565,9.0
1058,19203,108664,8.0
1059,19215,83858,4.0
1060,19280,15174,104.0
1061,19280,26477,2.0
1062,19280,83858,7.0
1063,19366,83858,9.0
1064,19404,48383,98.716
1065,19715,34763,3.0
1066,19734,15174,10.0
1067,19739,15174,1.0
1068,19739,19917,15.0
1069,20177,19917,16.0
1070,20177,56377,3.0
1071,20272,34763,20.0
1072,20410,31565,1.0
1073,20410,61188,978.0
1074,20463,19917,1.0
1075,20556,85973,2.0
1076,20605,11013,18.0
1077,20647,7686,2.0
1078,20647,18349,8.0
1079,20719,34763,11.0
1080,20825,38006,15.0
1081,20827,83858,5.0
1082,20854,15174,1.0
1083,21015,15174,51.0
1084,21251,15174,2.0
1085,21302,85973,19.0
1086,21349,15174,26.478
1087,21399,83858,1.0
1088,21400,7686,11.0
1089,21400,27514,177.0
1090,21400,46492,2.0
1091,21422,19917,10.0
1092,21570,19917,7.0
1093,21650,38212,1.89
1094,21658,41970,1.4
1095,21671,25347,0.368
1096,21748,98539,1.0
1097,21802,15174,0.347
1098,21847,11013,2.0
1099,21928,24799,6.0
1100,21950,19917,4.0
1101,21950,34141,326.0
1102,21968,10171,6.3
1103,22010,61188,23.0
1104,22048,15174,47.0
1105,22050,85973,22.0
1106,22303,11013,5.0
1107,22343,98539,12.0
1108,22361,15174,2.0
1109,22385,44447,8.0
1110,22422,10171,1.0
1111,22534,15174,1.0
1112,22570,7686,1.0
1113,22570,23293,12.0
1114,22570,74399,5.0
1115,22598,36083,12.0
1116,22640,19917,1.0
1117,22685,85973,7.0
1118,22864,98539,1.0
1119,22942,26477,6.0
1120,22942,36083,16.0
1121,22942,83858,14.0
1122,22979,7686,1.0
1123,23002,47082,8.0
1124,23024,15174,32.0
1125,23173,31565,7.0
1126,23406,7686,7.0
1127,23406,85973,10.0
1128,23411,15174,27.0
1129,23527,98539,10.0
1130,23658,20271,1.0
1131,23658,23824,4.0
1132,23658,27514,4.0
1133,23797,98539,2.0
1134,23874,98539,3.0
1135,23907,98539,6.0
1136,24018,31565,1.0
1137,24041,11013,2.0
1138,24148,15174,5.0
1139,24148,24799,17.0
1140,24148,26719,2.0
1141,24158,18349,18.0
1142,24158,23824,6.0
1143,24165,11013,4.0
1144,24165,23293,12.0
1145,24165,31565,1.0
1146,24165,36083,4.0
1147,24166,7686,9.0
1148,24230,15174,24.0
1149,24326,38006,4.0
1150,24326,47082,1.0
1151,24327,38006,6.0
1152,24349,19765,55.0
1153,24392,48383,10.0
1154,24399,26719,1.0
1155,24420,48383,3.0
1156,24425,34763,1.0
1157,24432,38006,11.0
1158,24435,26477,4.0
1159,24435,38006,27.0
1160,24436,7686,1.0
1161,24487,31565,2.0
1162,24499,31565,6.0
1163,24746,11013,4.0
1164,24749,15174,33.0
1165,24749,108664,141.0
1166,24757,34763,48.0
